"id","map_id","group_id","min_zoom","max_zoom","position"
"647","1","21","1","1","13"
"645","1","19","1","1","12"
"643","1","17","1","1","11"
"641","1","15","0","1","10"
"639","1","1","0","1","9"
"637","1","3","0","1","8"
"635","1","5","0","1","7"
"633","1","13","0","1","6"
"631","1","11","0","1","5"
"629","1","9","0","1","4"
"627","1","27","0","1","3"
"625","1","25","0","1","2"
"623","1","31","0","1","1"
"621","1","29","0","1","0"
"11349","27","149","0","0","0"
"14795","3","575","0","1","7"
"14801","3","27","0","1","10"
"14803","3","31","0","1","11"
"14805","3","593","0","1","12"
"14799","3","595","0","1","9"
"14797","3","585","0","1","8"
"14711","31","21","0","0","9"
"14695","31","403","0","0","1"
"14697","31","397","0","0","2"
"14699","31","413","0","0","3"
"14701","31","255","0","0","4"
"14703","31","373","0","0","5"
"14705","31","375","0","0","6"
"14707","31","371","0","0","7"
"14709","31","377","0","0","8"
"11455","29","87","0","0","1"
"11457","29","119","0","0","2"
"11459","29","91","0","0","3"
"11465","29","407","0","0","6"
"11453","29","89","0","0","0"
"15177","21","265","0","0","0"
"11901","35","433","0","1","32"
"15071","41","553","0","0","2"
"15069","41","65","0","0","1"
"15107","41","617","0","0","20"
"15109","41","251","0","0","21"
"15067","41","255","0","0","0"
"15111","41","152","0","0","22"
"14785","3","587","0","1","2"
"12651","11","21","0","0","0"
"14783","3","589","0","1","1"
"14781","3","591","0","1","0"
"14241","45","547","0","0","3"
"14243","45","637","0","0","4"
"14245","45","65","0","0","5"
"14247","45","437","0","0","6"
"14249","45","643","0","0","7"
"14843","3","435","0","1","31"
"14841","3","627","0","1","30"
"11351","27","599","0","0","1"
"14807","3","577","0","1","13"
"649","1","23","1","1","14"
"14809","3","609","1","1","14"
"14811","3","13","0","1","15"
"14813","3","11","0","1","16"
"14815","3","5","0","1","17"
"14817","3","3","0","1","18"
"14819","3","29","0","1","19"
"14821","3","9","0","1","20"
"14823","3","75","0","1","21"
"14825","3","1","0","1","22"
"11361","27","601","0","0","6"
"14827","3","21","1","1","23"
"12661","11","625","0","0","5"
"12663","11","623","0","0","6"
"12665","11","487","0","0","7"
"12667","11","113","0","0","8"
"12659","11","621","0","0","4"
"12657","11","61","0","0","3"
"12669","11","489","0","0","9"
"3841","13","223","0","0","7"
"3843","13","219","0","0","8"
"3839","13","79","0","0","6"
"3837","13","221","0","0","5"
"3845","13","215","0","0","9"
"3847","13","105","0","0","10"
"3849","13","217","0","0","11"
"3835","13","95","0","0","4"
"3833","13","21","0","0","3"
"3831","13","111","0","0","2"
"3829","13","117","0","0","1"
"3827","13","145","0","0","0"
"6689","15","226","0","0","0"
"6691","15","273","0","0","1"
"6693","15","287","0","0","2"
"6695","15","291","0","0","3"
"6697","15","236","0","0","4"
"6699","15","232","0","0","5"
"6701","15","137","0","0","6"
"6703","15","269","0","0","7"
"6705","15","295","0","0","8"
"6707","15","281","0","0","9"
"6709","15","293","0","0","10"
"6711","15","188","0","0","11"
"6713","15","285","0","0","12"
"6715","15","230","0","0","13"
"6717","15","231","0","0","14"
"6719","15","247","0","0","15"
"6721","15","235","0","0","16"
"6723","15","233","0","0","17"
"6725","15","77","0","0","18"
"6727","15","234","0","0","19"
"6729","15","241","0","0","20"
"6731","15","153","0","0","21"
"6735","15","283","0","0","23"
"6733","15","279","0","0","22"
"6737","15","229","0","0","24"
"6739","15","228","0","0","25"
"6741","15","227","0","0","26"
"6743","15","257","0","0","27"
"6745","15","275","0","0","28"
"6747","15","259","0","0","29"
"6749","15","239","0","0","30"
"6751","15","237","0","0","31"
"7213","17","347","0","0","17"
"6753","15","238","0","0","32"
"7215","17","339","0","0","18"
"1627","19","9","0","1","0"
"7211","17","343","0","0","16"
"7209","17","345","0","0","15"
"7207","17","341","0","0","14"
"7205","17","337","0","0","13"
"7203","17","335","0","0","12"
"7201","17","331","0","0","11"
"7199","17","333","0","0","10"
"7197","17","329","0","0","9"
"7195","17","327","0","0","8"
"7193","17","325","0","0","7"
"7191","17","321","0","0","6"
"7189","17","319","0","0","5"
"7187","17","323","0","0","4"
"7185","17","349","0","0","3"
"7183","17","317","0","0","2"
"7181","17","315","0","0","1"
"7179","17","313","0","0","0"
"1629","19","152","0","1","1"
"1631","19","71","0","1","2"
"1633","19","293","0","1","3"
"1635","19","273","0","1","4"
"1637","19","101","0","1","5"
"15233","21","451","0","0","28"
"15231","21","453","0","0","27"
"15229","21","13","0","0","26"
"15227","21","395","0","0","25"
"15225","21","3","0","0","24"
"15223","21","129","0","0","23"
"15221","21","215","0","0","22"
"15219","21","5","0","0","21"
"15217","21","217","0","0","20"
"15215","21","1","0","0","19"
"15213","21","219","0","0","18"
"15211","21","95","0","0","17"
"15209","21","79","0","0","16"
"15207","21","401","0","0","15"
"15205","21","21","0","0","14"
"15203","21","152","0","0","13"
"15201","21","367","0","0","12"
"15199","21","409","0","0","11"
"15197","21","251","0","0","10"
"15195","21","363","0","0","9"
"15193","21","23","0","0","8"
"15191","21","19","0","0","7"
"15189","21","615","0","0","6"
"15235","21","105","0","0","29"
"14787","3","25","0","1","3"
"15237","21","425","0","0","30"
"11461","29","607","0","0","4"
"7109","25","385","0","0","0"
"7111","25","393","0","0","1"
"7113","25","389","0","0","2"
"7115","25","351","0","0","3"
"7117","25","353","0","0","4"
"7119","25","357","0","0","5"
"7121","25","355","0","0","6"
"7123","25","391","0","0","7"
"11359","27","309","0","0","5"
"11357","27","152","0","0","4"
"11355","27","379","0","0","3"
"14833","3","619","0","1","26"
"11353","27","605","0","0","2"
"3851","13","367","0","0","12"
"3853","13","363","0","0","13"
"15239","21","493","0","0","31"
"11463","29","85","0","0","5"
"15179","21","61","0","0","1"
"15187","21","65","0","0","5"
"11363","27","603","0","0","7"
"14835","3","143","0","1","27"
"14839","3","629","0","1","29"
"14837","3","57","0","1","28"
"14845","3","405","0","1","32"
"11899","35","133","0","1","31"
"14829","3","81","1","1","24"
"14793","3","573","0","1","6"
"14791","3","395","0","1","5"
"14693","31","369","0","0","0"
"14789","3","583","0","1","4"
"14831","3","361","0","1","25"
"11839","35","571","0","1","1"
"11841","35","457","0","1","2"
"11843","35","455","0","1","3"
"11845","35","111","0","1","4"
"11847","35","145","0","1","5"
"11849","35","117","0","1","6"
"11851","35","21","0","1","7"
"11853","35","615","0","1","8"
"11897","35","449","0","1","30"
"11855","35","301","0","1","9"
"11857","35","451","0","1","10"
"11859","35","95","0","1","11"
"11861","35","465","0","1","12"
"11863","35","215","0","1","13"
"11865","35","147","0","1","14"
"11867","35","217","0","1","15"
"11869","35","219","0","1","16"
"11871","35","223","0","1","17"
"11873","35","79","0","1","18"
"11875","35","417","0","1","19"
"11877","35","221","0","1","20"
"11879","35","101","0","1","21"
"11881","35","367","0","1","22"
"11883","35","363","0","1","23"
"11885","35","459","0","1","24"
"11887","35","445","0","1","25"
"11889","35","453","0","1","26"
"11891","35","425","0","1","27"
"11893","35","105","0","1","28"
"11837","35","297","0","1","0"
"11895","35","411","0","1","29"
"15185","21","611","0","0","4"
"15183","21","613","0","0","3"
"14977","39","661","0","0","7"
"12671","11","109","0","0","10"
"12655","11","107","0","0","2"
"12653","11","99","0","0","1"
"15181","21","553","0","0","2"
"9775","37","501","0","0","8"
"9773","37","495","0","0","7"
"9771","37","499","0","0","6"
"15073","41","555","0","0","3"
"9769","37","225","0","0","5"
"9767","37","517","0","0","4"
"14251","45","631","0","0","8"
"9765","37","519","0","0","3"
"9763","37","503","0","0","2"
"14253","45","613","0","0","9"
"9761","37","505","0","0","1"
"14255","45","611","0","0","10"
"9759","37","513","0","0","0"
"14713","31","521","0","0","10"
"15001","39","659","0","0","19"
"14999","39","531","0","0","18"
"14997","39","529","0","0","17"
"14995","39","523","0","0","16"
"14993","39","535","0","0","15"
"14991","39","669","0","0","14"
"14989","39","493","0","0","13"
"14987","39","21","0","0","12"
"14985","39","1","0","0","11"
"14983","39","645","0","0","10"
"14981","39","657","0","0","9"
"14979","39","655","0","0","8"
"15003","39","647","0","0","20"
"15105","41","601","0","0","19"
"15077","41","13","0","0","5"
"15099","41","565","0","0","16"
"15097","41","561","0","0","15"
"15095","41","409","0","0","14"
"15093","41","493","0","0","13"
"15091","41","367","0","0","12"
"15089","41","105","0","0","11"
"15087","41","459","0","0","10"
"15085","41","19","0","0","9"
"15083","41","1","0","0","8"
"15081","41","21","0","0","7"
"15079","41","557","0","0","6"
"15101","41","537","0","0","17"
"15103","41","81","0","0","18"
"15075","41","547","0","0","4"
"14257","45","641","0","0","11"
"14259","45","439","0","0","12"
"15005","39","527","0","0","21"
"15007","39","533","0","0","22"
"15009","39","653","0","0","23"
"15011","39","525","0","0","24"
"15013","39","549","0","0","25"
"15015","39","537","0","0","26"
"14261","45","663","0","0","13"
"14263","45","665","0","0","14"
"14265","45","667","0","0","15"
"14975","39","81","0","0","6"
"14973","39","361","0","0","5"
"14971","39","619","0","0","4"
"14969","39","143","0","0","3"
"14239","45","545","0","0","2"
"14237","45","21","0","0","1"
"14235","45","1","0","0","0"
"14967","39","629","0","0","2"
"15017","39","651","0","0","27"
"14965","39","627","0","0","1"
"15019","39","649","0","0","28"
"14963","39","435","0","0","0"
"15251","47","671","0","0","5"
"15253","47","1","0","0","6"
"15255","47","493","0","0","7"
"15257","47","523","0","0","8"
"15259","47","659","0","0","9"
"15261","47","647","0","0","10"
"15263","47","527","0","0","11"
"15249","47","673","0","0","4"
"15247","47","657","0","0","3"
"15245","47","655","0","0","2"
"15243","47","81","0","0","1"
"15241","47","361","0","0","0"
